docketNumber,paidOrIfp,docketDisposition,docketDispositionDate,journalDispositions,journalDispositionDates,reconciliationStatus,officialDocketUrl,reviewNote
23-7100,ifp,denied,2024-04-29,denied,2024-04-29,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7100.html,Current docket outcome matches at least one parsed Journal row.
23-7101,ifp,denied,2024-05-28,denied,2024-05-28,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7101.html,Current docket outcome matches at least one parsed Journal row.
23-7102,ifp,denied,2024-05-20,denied,2024-05-20,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7102.html,Current docket outcome matches at least one parsed Journal row.
23-7103,ifp,denied,2024-05-20,denied,2024-05-20,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7103.html,Current docket outcome matches at least one parsed Journal row.
23-7104,ifp,not_certiorari_intake,,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7104.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-7105,ifp,denied,2024-05-20,denied,2024-05-20,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7105.html,Current docket outcome matches at least one parsed Journal row.
23-7106,ifp,denied,2024-04-29,denied,2024-04-29,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7106.html,Current docket outcome matches at least one parsed Journal row.
23-7107,ifp,denied,2024-04-29,denied,2024-04-29,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7107.html,Current docket outcome matches at least one parsed Journal row.
23-7108,ifp,denied,2024-10-15,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7108.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-7109,ifp,denied,2024-04-29,denied,2024-04-29,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7109.html,Current docket outcome matches at least one parsed Journal row.
23-7110,ifp,denied,2024-06-03,denied,2024-06-03,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7110.html,Current docket outcome matches at least one parsed Journal row.
23-7111,ifp,denied,2024-04-29,denied,2024-04-29,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7111.html,Current docket outcome matches at least one parsed Journal row.
23-7112,ifp,denied,2024-06-03,denied,2024-06-03,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7112.html,Current docket outcome matches at least one parsed Journal row.
23-7113,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7113.html,Current docket outcome matches at least one parsed Journal row.
23-7114,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7114.html,Current docket outcome matches at least one parsed Journal row.
23-7115,ifp,denied,2024-05-20,denied,2024-05-20,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7115.html,Current docket outcome matches at least one parsed Journal row.
23-7116,ifp,denied,2024-06-03,denied,2024-06-03,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7116.html,Current docket outcome matches at least one parsed Journal row.
23-7117,ifp,denied,2024-05-28,denied,2024-05-28,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7117.html,Current docket outcome matches at least one parsed Journal row.
23-7118,ifp,denied,2024-05-28,denied,2024-05-28,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7118.html,Current docket outcome matches at least one parsed Journal row.
23-7119,ifp,denied,2024-04-09,denied,2024-04-09,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7119.html,Current docket outcome matches at least one parsed Journal row.
23-7120,ifp,denied,2024-06-03,denied,2024-06-03,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7120.html,Current docket outcome matches at least one parsed Journal row.
23-7121,ifp,denied,2024-04-29,denied,2024-04-29,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7121.html,Current docket outcome matches at least one parsed Journal row.
23-7122,ifp,denied,2024-04-29,denied,2024-04-29,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7122.html,Current docket outcome matches at least one parsed Journal row.
23-7123,ifp,denied,2024-04-29,denied,2024-04-29,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7123.html,Current docket outcome matches at least one parsed Journal row.
23-7124,ifp,denied,2024-06-24,denied,2024-06-24,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7124.html,Current docket outcome matches at least one parsed Journal row.
23-7125,ifp,denied,2024-04-29,denied,2024-04-29,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7125.html,Current docket outcome matches at least one parsed Journal row.
23-7126,ifp,denied,2024-04-29,denied,2024-04-29,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7126.html,Current docket outcome matches at least one parsed Journal row.
23-7127,ifp,denied,2024-05-28,denied,2024-05-28,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7127.html,Current docket outcome matches at least one parsed Journal row.
23-7128,ifp,denied,2024-10-07,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7128.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-7129,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7129.html,Current docket outcome matches at least one parsed Journal row.
23-7130,ifp,not_certiorari_intake,,,,not_in_journal_disposition_extract,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7130.html,Docket is in the independently enumerated OT2023 intake cohort but not the parsed Journal disposition slice.
23-7131,ifp,denied,2024-05-20,denied,2024-05-20,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7131.html,Current docket outcome matches at least one parsed Journal row.
23-7132,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7132.html,Current docket outcome matches at least one parsed Journal row.
23-7133,ifp,denied,2024-04-29,denied,2024-04-29,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7133.html,Current docket outcome matches at least one parsed Journal row.
23-7134,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7134.html,Current docket outcome matches at least one parsed Journal row.
23-7135,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7135.html,Current docket outcome matches at least one parsed Journal row.
23-7136,ifp,denied,2024-04-04,denied,2024-04-04,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7136.html,Current docket outcome matches at least one parsed Journal row.
23-7137,ifp,denied,2024-06-10,denied,2024-06-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7137.html,Current docket outcome matches at least one parsed Journal row.
23-7138,ifp,denied,2024-05-20,denied,2024-05-20,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7138.html,Current docket outcome matches at least one parsed Journal row.
23-7139,ifp,denied,2024-05-28,denied,2024-05-28,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7139.html,Current docket outcome matches at least one parsed Journal row.
23-7140,ifp,denied,2024-06-03,denied,2024-06-03,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7140.html,Current docket outcome matches at least one parsed Journal row.
23-7141,ifp,denied,2024-04-29,denied,2024-04-29,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7141.html,Current docket outcome matches at least one parsed Journal row.
23-7142,ifp,denied,2024-06-10,denied,2024-06-10,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7142.html,Current docket outcome matches at least one parsed Journal row.
23-7143,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7143.html,Current docket outcome matches at least one parsed Journal row.
23-7144,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7144.html,Current docket outcome matches at least one parsed Journal row.
23-7145,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7145.html,Current docket outcome matches at least one parsed Journal row.
23-7146,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7146.html,Current docket outcome matches at least one parsed Journal row.
23-7147,ifp,denied,2024-05-13,denied,2024-05-13,outcome_matches_journal,https://www.supremecourt.gov/docket/docketfiles/html/public/23-7147.html,Current docket outcome matches at least one parsed Journal row.
